country,year,sector,total_emissions
India,2019,Industry,751.12442
India,2019,International Aviation,12.0438273
India,2019,Power,1197.63998
India,2019,Residential,204.052731
India,2020,Domestic Aviation,3.9076653346
India,2020,Ground Transport,258.160396
India,2020,Industry,655.950875
India,2020,International Aviation,5.57177325
India,2020,Power,1139.5451
India,2020,Residential,201.618102
India,2021,Domestic Aviation,5.17972653
India,2021,Ground Transport,268.91404
India,2021,Industry,744.47222
India,2021,International Aviation,6.04341442
India,2021,Power,1278.17489
India,2021,Residential,184.706526
India,2022,Domestic Aviation,6.44059487
India,2022,Ground Transport,290.621134
India,2022,Industry,773.55169
India,2022,International Aviation,10.4766766
India,2022,Power,1390.28136
India,2022,Residential,191.221548
India,2023,Domestic Aviation,2.9500769
India,2023,Ground Transport,121.308939
India,2023,Industry,335.20236
India,2023,International Aviation,5.0578515
India,2023,Power,659.48004
India,2023,Residential,97.435898
Italy,2019,Domestic Aviation,1.88723078
Italy,2019,Ground Transport,91.12591
Italy,2019,Industry,54.38687
Italy,2019,International Aviation,14.9858947
Italy,2019,Power,93.880007
Italy,2019,Residential,74.9534936
Italy,2020,Domestic Aviation,1.002047675
Italy,2020,Ground Transport,81.8395765
Italy,2020,Industry,47.9729588
Italy,2020,International Aviation,4.84827128
Italy,2020,Power,86.748384
Italy,2020,Residential,74.2466967
Italy,2021,Domestic Aviation,1.469125802
Italy,2021,Ground Transport,90.644344
Italy,2021,Industry,54.4470577
Italy,2021,International Aviation,6.4677769
Italy,2021,Power,90.324046
Italy,2021,Residential,77.7737283
Italy,2022,Domestic Aviation,1.95819584
Italy,2022,Ground Transport,90.621587
Italy,2022,Industry,54.4212796
Italy,2022,International Aviation,11.5799275
Italy,2022,Power,101.359117
Italy,2022,Residential,72.7720449
Italy,2023,Domestic Aviation,0.7372981
Italy,2023,Ground Transport,39.049459
Italy,2023,Industry,23.4421
Italy,2023,International Aviation,4.9155651
Italy,2023,Power,33.346694
Italy,2023,Residential,39.8981987
Japan,2019,Domestic Aviation,9.01393752
Japan,2019,Ground Transport,178.220932
Japan,2019,Industry,268.825171
Japan,2019,International Aviation,19.5749107
Japan,2019,Power,524.539991
Japan,2019,Residential,108.312329
Japan,2020,Domestic Aviation,6.5078695
Japan,2020,Ground Transport,167.564757
Japan,2020,Industry,241.03857299999999
Japan,2020,International Aviation,8.73283861
Japan,2020,Power,516.831841
Japan,2020,Residential,108.409187
Japan,2021,Domestic Aviation,6.54719809
Japan,2021,Ground Transport,172.089595
Japan,2021,Industry,254.444582
Japan,2021,International Aviation,8.3641499
Japan,2021,Power,497.804389
Japan,2021,Residential,107.431895
Japan,2022,Domestic Aviation,9.1519457
Japan,2022,Ground Transport,179.038788
Japan,2022,Industry,254.333674
Japan,2022,International Aviation,9.3533675
Japan,2022,Power,517.454019
Japan,2022,Residential,111.30337
Japan,2023,Domestic Aviation,3.8996546
Japan,2023,Ground Transport,75.33111
Japan,2023,Industry,101.409613
Japan,2023,International Aviation,5.6613069
Japan,2023,Power,191.804448
Japan,2023,Residential,59.534966
ROW,2019,Domestic Aviation,69.290614
ROW,2019,Ground Transport,2177.4323
ROW,2019,Industry,3578.2932299999998
ROW,2019,International Aviation,277.168214
ROW,2019,Power,3773.9337
ROW,2019,Residential,1016.1141
ROW,2020,Domestic Aviation,40.6477605
ROW,2020,Ground Transport,1879.6129
ROW,2020,Industry,3371.06245
ROW,2020,International Aviation,120.1527907
ROW,2020,Power,3533.2125
ROW,2020,Residential,1025.77862
ROW,2021,Domestic Aviation,49.0424923
ROW,2021,Ground Transport,2086.14925
ROW,2021,Industry,3566.47272
ROW,2021,International Aviation,139.346326
ROW,2021,Power,3478.3294300000002
ROW,2021,Residential,993.06415
ROW,2022,Domestic Aviation,65.159299
ROW,2022,Ground Transport,2285.18451
ROW,2022,Industry,3771.32177
ROW,2022,International Aviation,204.666389
ROW,2022,Power,3377.54822
ROW,2022,Residential,1012.44498
ROW,2023,Domestic Aviation,28.028042
ROW,2023,Ground Transport,986.29
ROW,2023,Industry,1537.29419
ROW,2023,International Aviation,102.092409
ROW,2023,Power,1339.71788
ROW,2023,Residential,507.76724
Russia,2019,Domestic Aviation,15.4215102
Russia,2019,Ground Transport,232.372603
Russia,2019,Industry,284.324305
Russia,2019,International Aviation,13.2775779
Russia,2019,Power,840.44004
Russia,2019,Residential,172.031816
Russia,2020,Domestic Aviation,13.4161851
Russia,2020,Ground Transport,222.812639
Russia,2020,Industry,287.868086
Russia,2020,International Aviation,5.2717709
Russia,2020,Power,979.18902
Russia,2020,Residential,165.454955
Russia,2021,Domestic Aviation,18.5671246
Russia,2021,Ground Transport,232.167514
Russia,2021,Industry,302.454596
Russia,2021,International Aviation,7.10126854
Russia,2021,Power,1166.67649
Russia,2021,Residential,181.643224
Russia,2022,Domestic Aviation,17.1906106
Russia,2022,Ground Transport,227.197966
Russia,2022,Industry,298.171408
Russia,2022,International Aviation,4.81192338
Russia,2022,Power,1145.60725
Russia,2022,Residential,177.104446
Russia,2023,Domestic Aviation,6.2724282
Russia,2023,Ground Transport,94.541195
Russia,2023,Industry,119.053749
Russia,2023,International Aviation,2.3439858
Russia,2023,Power,516.91132
Russia,2023,Residential,91.349896
Spain,2019,Domestic Aviation,5.63523937
Spain,2019,Ground Transport,84.8288983
Spain,2019,Industry,62.2487267
Spain,2019,International Aviation,24.2546689
Spain,2019,Power,55.080006
Spain,2019,Residential,36.7003383
Spain,2020,Domestic Aviation,3.013127342
Spain,2020,Ground Transport,75.6051469
Spain,2020,Industry,55.9874255
Spain,2020,International Aviation,8.45080576
Spain,2020,Power,41.594356
Spain,2020,Residential,36.2590666
Spain,2021,Domestic Aviation,4.36696629
Spain,2021,Ground Transport,87.8145946
Spain,2021,Industry,60.5501273
Spain,2021,International Aviation,12.01578097
Spain,2021,Power,40.997582
Spain,2021,Residential,37.1514067
Spain,2022,Domestic Aviation,5.88181122
Spain,2022,Ground Transport,83.8920868
Spain,2022,Industry,61.7615362
Spain,2022,International Aviation,21.5153703
Spain,2022,Power,52.315439
Spain,2022,Residential,35.4034169
Spain,2023,Domestic Aviation,2.4574505
Spain,2023,Ground Transport,37.315716
Spain,2023,Industry,26.3414338
Spain,2023,International Aviation,8.8933812
Spain,2023,Power,13.526862
Spain,2023,Residential,17.8737679
UK,2019,Domestic Aviation,2.411809498
UK,2019,Ground Transport,113.803913
UK,2019,Industry,61.2081419
UK,2019,International Aviation,36.1355544
UK,2019,Power,76.350004
UK,2019,Residential,90.203261
UK,2020,Domestic Aviation,1.038671607
UK,2020,Ground Transport,104.287624
UK,2020,Industry,61.2796328
UK,2020,International Aviation,14.82747082
UK,2020,Power,62.905387
UK,2020,Residential,88.431622
UK,2021,Domestic Aviation,1.273229717
UK,2021,Ground Transport,115.309469
UK,2021,Industry,67.2021442
UK,2021,International Aviation,14.5182065
UK,2021,Power,71.096723
UK,2021,Residential,90.902783
UK,2022,Domestic Aviation,1.791984898
UK,2022,Ground Transport,119.068282
UK,2022,Industry,63.9934413
UK,2022,International Aviation,30.169803
UK,2022,Power,72.787168
UK,2022,Residential,86.128758
UK,2023,Domestic Aviation,0.77680832
UK,2023,Ground Transport,49.572089
UK,2023,Industry,26.3045339
UK,2023,International Aviation,12.980848
UK,2023,Power,24.396043
UK,2023,Residential,44.14118
US,2019,Domestic Aviation,173.726669
US,2019,Ground Transport,1645.393
US,2019,Industry,999.59399
